subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,measured_online_dbf_runtime
RECT_E01_A21,1,21,1,1;3;5,1;11;21,1,3,3,2080,195,2275,3,48,99840,33328,130,1.7646834276125e-10,1.82607461042243e-05,2.04663194483833e-11,1.86880437494606e-10,D0320,V0234,H0053,3,2,4,0,0.2272817,0.2272817,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A22,1,22,1,2;3;5,6;11;21,1,3,3,2080,195,2275,3,48,99840,33328,130,2.16418243289595e-10,1.66883634525604e-05,5.8775606308334e-10,2.16418365330154e-10,D0319,V0054,H0085,3,2,4,0,0.2478714,0.2478714,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A23,1,23,1,1;2;3;5,1;6;11;21,1,4,4,2080,260,2340,4,64,133120,33344,195,1.04867987136786e-07,2.03346729601239e-05,5.51670575482812e-08,1.13999963234512e-07,D0064,V0186,H0085,4,2,4,0,0.229349,0.229349,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E01_A24,1,24,1,4;5,16;21,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.218591,0.218591,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A25,1,25,1,1;4;5,1;16;21,1,3,3,2080,195,2275,3,48,99840,33328,130,1.92600211259422e-10,1.65943044063622e-05,4.85704541024287e-10,1.95589662821089e-10,D0320,V0054,H0085,3,2,4,0,0.242635,0.242635,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A26,1,26,1,2;4;5,6;16;21,1,3,3,2080,195,2275,3,48,99840,33328,130,2.15788447276347e-10,1.45829882231427e-05,7.12260312253259e-10,2.15788592417606e-10,D0311,V0054,H0085,3,2,4,0,0.2274319,0.2274319,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A27,1,27,1,1;2;4;5,1;6;16;21,1,4,4,2080,260,2340,4,64,133120,33344,195,3.73465893266142e-08,1.99082815716566e-05,2.12978061839994e-07,4.05941171963213e-08,D0064,V0186,H0085,4,2,4,0,0.2268077,0.2268077,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E01_A28,1,28,1,3;4;5,11;16;21,1,3,3,2080,195,2275,3,48,99840,33328,130,1.82531533617226e-10,1.24578849736089e-05,1.08647032841709e-11,1.82531915729155e-10,D0183,V0054,H0028,3,2,4,0,0.2303768,0.2303768,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A29,1,29,1,1;3;4;5,1;11;16;21,1,4,4,2080,260,2340,4,64,133120,33344,195,1.02727333183793e-07,2.03579330831766e-05,4.73264388085844e-07,1.11674043219817e-07,D0064,V0156,H0085,4,2,4,0,0.2722365,0.2722365,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E01_A30,1,30,1,2;3;4;5,6;11;16;21,1,4,4,2080,260,2340,4,64,133120,33344,195,1.42532838021123e-07,2.19737167630856e-05,8.28198333282115e-07,1.55637375686285e-07,D0576,V0156,H0085,4,2,4,0,0.270559,0.270559,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E01_A31,1,31,1,1;2;3;4;5,1;6;11;16;21,1,5,5,2080,325,2405,5,80,166400,33360,260,3.01658111537745e-06,5.62598110026724e-05,4.30841563344709e-06,3.29743914743189e-06,D0318,V0156,H0085,5,2,4,0,0.2861421,0.2861421,FIM_SCENARIO_VALID,2,2,1184,2368,2.116015625e-06
RECT_E02_A01,2,1,2,1,2,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1805249,0.1805249,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E02_A02,2,2,2,2,7,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1748716,0.1748716,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E02_A03,2,3,2,1;2,2;7,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2708326,0.2708326,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A04,2,4,2,3,12,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1475281,0.1475281,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E02_A05,2,5,2,1;3,2;12,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2464987,0.2464987,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A06,2,6,2,2;3,7;12,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2305987,0.2305987,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
