scenario_id,data_split,center_az_deg,center_el_deg,direction_az_component,direction_el_component,separation_deg,target1_az_deg,target1_el_deg,target2_az_deg,target2_el_deg,source_profile_id,L,secondary_power_db,correlation_magnitude,correlation_phase_rad,noise_covariance_id,registered_domain_pass,holdout_seed,sampling_rule
D0095,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0096,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0097,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0098,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0099,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0100,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0101,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0102,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0103,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0104,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.05,7.98232233047034,10.0176776695297,8.01767766952966,9.98232233047034,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0105,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0106,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0107,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0108,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0109,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0110,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0111,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0112,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.1,7.96464466094067,10.0353553390593,8.03535533905933,9.96464466094067,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0113,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0114,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0115,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0116,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0117,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0118,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0119,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0120,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.2,7.92928932188135,10.0707106781187,8.07071067811865,9.92928932188135,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0121,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.4,7.85857864376269,10.1414213562373,8.14142135623731,9.85857864376269,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0122,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.4,7.85857864376269,10.1414213562373,8.14142135623731,9.85857864376269,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0123,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.4,7.85857864376269,10.1414213562373,8.14142135623731,9.85857864376269,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0124,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.4,7.85857864376269,10.1414213562373,8.14142135623731,9.85857864376269,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0125,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.4,7.85857864376269,10.1414213562373,8.14142135623731,9.85857864376269,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0126,DESIGN,8,10,0.707106781186547,-0.707106781186547,0.4,7.85857864376269,10.1414213562373,8.14142135623731,9.85857864376269,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
