subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total
RECT_E13_A25,13,25,1;3;4,1;4;5,1;3;4;16;18;19;21;23;24,3,3,9,6240,585,6825
RECT_E13_A26,13,26,1;3;4,2;4;5,6;8;9;16;18;19;21;23;24,3,3,9,6240,585,6825
RECT_E13_A27,13,27,1;3;4,1;2;4;5,1;3;4;6;8;9;16;18;19;21;23;24,3,4,12,6240,780,7020
RECT_E13_A28,13,28,1;3;4,3;4;5,11;13;14;16;18;19;21;23;24,3,3,9,6240,585,6825
RECT_E13_A29,13,29,1;3;4,1;3;4;5,1;3;4;11;13;14;16;18;19;21;23;24,3,4,12,6240,780,7020
RECT_E13_A30,13,30,1;3;4,2;3;4;5,6;8;9;11;13;14;16;18;19;21;23;24,3,4,12,6240,780,7020
RECT_E13_A31,13,31,1;3;4,1;2;3;4;5,1;3;4;6;8;9;11;13;14;16;18;19;21;23;24,3,5,15,6240,975,7215
RECT_E14_A01,14,1,2;3;4,1,2;3;4,3,1,3,6240,195,6435
RECT_E14_A02,14,2,2;3;4,2,7;8;9,3,1,3,6240,195,6435
RECT_E14_A03,14,3,2;3;4,1;2,2;3;4;7;8;9,3,2,6,6240,390,6630
RECT_E14_A04,14,4,2;3;4,3,12;13;14,3,1,3,6240,195,6435
RECT_E14_A05,14,5,2;3;4,1;3,2;3;4;12;13;14,3,2,6,6240,390,6630
RECT_E14_A06,14,6,2;3;4,2;3,7;8;9;12;13;14,3,2,6,6240,390,6630
RECT_E14_A07,14,7,2;3;4,1;2;3,2;3;4;7;8;9;12;13;14,3,3,9,6240,585,6825
RECT_E14_A08,14,8,2;3;4,4,17;18;19,3,1,3,6240,195,6435
RECT_E14_A09,14,9,2;3;4,1;4,2;3;4;17;18;19,3,2,6,6240,390,6630
RECT_E14_A10,14,10,2;3;4,2;4,7;8;9;17;18;19,3,2,6,6240,390,6630
RECT_E14_A11,14,11,2;3;4,1;2;4,2;3;4;7;8;9;17;18;19,3,3,9,6240,585,6825
RECT_E14_A12,14,12,2;3;4,3;4,12;13;14;17;18;19,3,2,6,6240,390,6630
RECT_E14_A13,14,13,2;3;4,1;3;4,2;3;4;12;13;14;17;18;19,3,3,9,6240,585,6825
RECT_E14_A14,14,14,2;3;4,2;3;4,7;8;9;12;13;14;17;18;19,3,3,9,6240,585,6825
RECT_E14_A15,14,15,2;3;4,1;2;3;4,2;3;4;7;8;9;12;13;14;17;18;19,3,4,12,6240,780,7020
RECT_E14_A16,14,16,2;3;4,5,22;23;24,3,1,3,6240,195,6435
RECT_E14_A17,14,17,2;3;4,1;5,2;3;4;22;23;24,3,2,6,6240,390,6630
RECT_E14_A18,14,18,2;3;4,2;5,7;8;9;22;23;24,3,2,6,6240,390,6630
RECT_E14_A19,14,19,2;3;4,1;2;5,2;3;4;7;8;9;22;23;24,3,3,9,6240,585,6825
RECT_E14_A20,14,20,2;3;4,3;5,12;13;14;22;23;24,3,2,6,6240,390,6630
RECT_E14_A21,14,21,2;3;4,1;3;5,2;3;4;12;13;14;22;23;24,3,3,9,6240,585,6825
RECT_E14_A22,14,22,2;3;4,2;3;5,7;8;9;12;13;14;22;23;24,3,3,9,6240,585,6825
RECT_E14_A23,14,23,2;3;4,1;2;3;5,2;3;4;7;8;9;12;13;14;22;23;24,3,4,12,6240,780,7020
RECT_E14_A24,14,24,2;3;4,4;5,17;18;19;22;23;24,3,2,6,6240,390,6630
RECT_E14_A25,14,25,2;3;4,1;4;5,2;3;4;17;18;19;22;23;24,3,3,9,6240,585,6825
RECT_E14_A26,14,26,2;3;4,2;4;5,7;8;9;17;18;19;22;23;24,3,3,9,6240,585,6825
