domain,method_id,profile_id,nominal_snr_db,L,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,22,8,20,20,20,0,0,1,20,20,0,1,1,0.0138598273936727,0.031060839255336,0.0306951102517518,0.0638588634022568,0.364693806242132,0.983485194742704,0.0367857939707175,0.0713188116695421,30.9676409,1.54476925,1.5975188,79056,77836,20,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,-6,8,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0386084,0.0018848,0.00212045,1220,0,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":20}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,0,8,20,20,1,0,19,0.05,0,0,0,0,0,0.111472791516063,0.111472791516063,0.225204486087907,0.225204486087907,1.12384577557828,1.12384577557828,0.411861981634655,0.411861981634655,2.6582259,0.0019104,0.0025595,6316,5096,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":19}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,6,8,20,20,8,0,12,0.4,8,7,0,0.4,0.35,0.0505020726309255,0.0819226572465224,0.105192549973272,0.171232637489813,0.627988135389112,1.51646491052925,0.181295516625317,0.304967153676023,15.3126992,0.002023,2.1011867,35596,34376,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":12}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,10,8,20,20,14,0,6,0.7,11,10,0,0.55,0.5,0.0485995548401865,0.101760046836147,0.112142954204267,0.211136394147957,1.00341479660677,1.83288786649092,0.200049067470518,0.353347211859591,25.9671146,1.6965901,2.11738245,60415,59195,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":6}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,14,8,20,20,17,0,3,0.85,15,12,0,0.75,0.6,0.0337455189017097,0.101666314913089,0.0788042777779139,0.202051554876735,0.556608324866427,1.3883201657091,0.153841041465015,0.388403749816244,29.9262886,1.66108245,1.88245775,71464,70244,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":3}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,18,8,20,20,20,0,0,1,18,15,0,0.9,0.75,0.0305297993689152,0.0971372807784851,0.0701899220483808,0.195142927208314,0.419610337320203,0.919733150811303,0.104422872464113,0.363247137626861,35.7910572,1.73076285,2.2133089,84946,83726,20,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,22,8,20,20,20,0,0,1,19,18,0,0.95,0.9,0.0181749022076582,0.0752235544738551,0.0399772468456731,0.169929668876963,0.278318069502678,0.807778908404535,0.066185770409962,0.326885425376548,34.8729586,1.67799895,1.9090645,83356,82136,20,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,-6,8,20,20,20,0,0,1,19,15,0,0.95,0.75,0.0503897343713762,0.0742961951110917,0.115170192739023,0.17072057165125,4.46291136947064,10.4019134702711,0.16663368882157,0.254921699653846,71.2894834,3.5975855,4.1462427,82656,82656,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,0,8,20,20,20,0,0,1,20,20,0,1,1,0.0231943504663081,0.0378529572359333,0.0521011380415091,0.0872730095890696,2.07017783918031,5.24654943950209,0.0829278212084537,0.128491375259127,77.9796298,4.0315104,4.1101027,92398,92398,0,"{""reason"":[],""count"":[]}"
