row_type,comparison_set,scope_type,scope_value,method_id,total_row_count,applicable_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_separation_error_deg,p90_separation_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses
METHOD,NATURAL,L,1,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,24,0.175645521308172,0.342147530570184,0.0994940254520195,0.268624992545495,13.7519281744202,34.9325872802615,0.174964981179817,0.503951239500156,0.19624465590526,0.532483879819764,6.0162087,7.7254721,,0,0,0,0
METHOD,NATURAL,L,4,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,24,0.16352011693301,0.365684996958073,0.101661930069153,0.317037017423619,4.61800394875521,23.7719491745687,0.158288892447292,0.323931135309061,0.16323946681171,0.339363911421273,5.3743425,5.99335585,,0,0,0,0
METHOD,NATURAL,L,8,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,24,0.10262681820889,0.20573761311979,0.0849202824451598,0.163307573240947,2.10915319636934,9.20091160552554,0.0888392275535432,0.239856193162245,0.0889065731176629,0.240422589444705,5.3853182,5.98629303,,0,0,0,0
METHOD,NATURAL,NOISE,WHITE,FULL4D_BEAMSPACE_CML_MULTISTART,36,36,36,0.1634005013098,0.338842129094906,0.0949359814438364,0.276922611679697,5.33587597188831,27.4994383336347,0.123722057366525,0.400287405047077,0.127627864096689,0.426548887071437,5.50121395,5.98301905,,0,0,0,0
METHOD,NATURAL,NOISE,STAGE5_TOEPLITZ_CORRELATED,FULL4D_BEAMSPACE_CML_MULTISTART,36,36,36,0.114327879601696,0.306013008420883,0.0983184226205124,0.184541696405652,3.65532978881282,23.6040682622191,0.144263180329667,0.393315087599494,0.148966741548918,0.402259201463246,5.40352965,7.7128495,,0,0,0,0
METHOD,NATURAL,PROFILE,P1,FULL4D_ELEMENT_CML_MULTISTART,6,6,6,0.0478522660492709,0.101644466708872,0.0403368848480417,0.0722156801666985,0.87113257682941,4.95258959950552,0.058679082318816,0.13125435691117,0.0624081028018458,0.13313876340563,50.8222434,99.30862505,,0,0,0,0
METHOD,NATURAL,PROFILE,P2,FULL4D_ELEMENT_CML_MULTISTART,6,6,6,0.331714159620152,0.389940708518778,0.301780725045115,0.338389995269229,8.9838949057602,21.5549949957155,0.189806237590792,0.42832613856866,0.189823935614104,0.445416640081521,42.2173624,90.20215035,,0,0,0,0
METHOD,NATURAL,PROFILE,P3,FULL4D_ELEMENT_CML_MULTISTART,6,6,6,0.0826692071458056,0.383085081779272,0.0681620386738761,0.260326100595434,4.00630578239383,37.5728916991634,0.0724096530577405,0.442211092875485,0.0735116639416082,0.493467339132742,14.7131242,96.14606695,,0,0,0,0
METHOD,NATURAL,PROFILE,P4,FULL4D_ELEMENT_CML_MULTISTART,6,6,6,0.176169944274265,0.261445021678125,0.135161370563228,0.202109838336606,19.0029701156993,25.643448328443,0.253252694050442,0.382035623000156,0.261222246708897,0.390783849485694,49.9985706,95.82997535,,0,0,0,0
METHOD,NATURAL,SNR_DB,-6,FULL4D_ELEMENT_CML_MULTISTART,8,8,8,0.164849075164194,0.459974017271244,0.139827396361412,0.335633492412798,10.0392044470316,33.8527486875662,0.125801040348855,0.607551532469059,0.145715224636545,0.643969666625648,14.7131242,97.71207311,,0,0,0,0
METHOD,NATURAL,SNR_DB,+0,FULL4D_ELEMENT_CML_MULTISTART,8,8,8,0.180435145208791,0.331462158130736,0.0964166590382671,0.294794738910784,3.92060620679733,23.4527527205822,0.179915359003556,0.318220696635073,0.179952779613704,0.339410312178104,46.395683,96.56528703,,0,0,0,0
METHOD,NATURAL,SNR_DB,+6,FULL4D_ELEMENT_CML_MULTISTART,8,8,8,0.0904535595948149,0.228925084329868,0.0681620386738761,0.1845671828915,2.82434587697537,21.3118616801711,0.146484782355347,0.31539264392501,0.147526917077117,0.327820095576068,42.3596527,96.05795804,,0,0,0,0
