row_type,scope_type,scope_value,method_id,reference_method_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,resulting_element_snr_median_db,resulting_element_snr_min_db,resulting_element_snr_max_db,realized_white_snr_median_db,realized_white_snr_p90_db,comparison_id,paired_count,wins,ties,losses
METHOD,L,4,CORE_LITE,,24,24,1,0.393750334775091,0.598623582853299,0.308113883008419,0.53851648071345,44.9999999999999,71.5650511770781,0.224264068711928,0.805000000000001,1.41421356237309,6.60000000000003,0.30149946217313,0.876580817271468,0,0,166.541666666667,380.875,0.1541029,0.18899957,-22.0369610572227,-28.7199298464111,-15.4197201460617,0.131565695892796,6.45273380593407,,0,0,0,0
METHOD,L,4,CORE_PLUS,,24,24,1,0.377884121238331,0.622985398370958,0.306300977272691,0.585538224820939,34.389166615235,77.3198279476335,0.165763575362487,0.444990065426079,0.996587611318875,2.99595172088068,0.254606488118815,0.452160839933382,0.708333333333333,0.291666666666667,1651.08333333333,3351.58333333333,1.2614574,1.91293387,-22.0369610572227,-28.7199298464111,-15.4197201460617,0.131565695892796,6.45273380593407,,0,0,0,0
METHOD,L,4,TANGENT_PROFILE_SAFE,,24,24,1,0.370306551169872,0.598623582853299,0.300000000000001,0.53851648071345,32.9044813361819,79.7200727244507,0.185447251915252,0.724736659610103,0.912938519971781,5.00830745316659,0.249036294835627,0.79093210659628,0.291666666666667,0.708333333333333,397.208333333333,868.208333333333,4.5207414,4.56136712,-22.0369610572227,-28.7199298464111,-15.4197201460617,0.131565695892796,6.45273380593407,,0,0,0,0
PAIRWISE,L,4,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,24,4,17,3
PAIRWISE,L,4,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,24,11,5,8
METHOD,L,8,CORE_LITE,,24,24,1,0.413331387569504,0.555094077489027,0.275000000000001,0.533566134133073,45,69.1260204708312,0.11642135623731,0.615562944886447,0.88561808316414,3.36742685618501,0.209316976878972,0.627866058681187,0,0,160.708333333333,370.041666666667,0.15059815,0.18475982,-22.0335221164953,-28.6723756284222,-15.4197195094785,-0.0299036247086757,6.21889103017551,,0,0,0,0
METHOD,L,8,CORE_PLUS,,24,24,1,0.363196091386435,0.616782699954594,0.247097479740843,0.606365560620871,31.6012574933342,69.4390410510348,0.148068688229386,0.579697753232187,0.937181957465384,3.27330547989653,0.20267732330484,0.600084784083047,0.625,0.375,1945.91666666667,3941.83333333333,1.6833461,2.22781147,-22.0335221164953,-28.6723756284222,-15.4197195094785,-0.0299036247086757,6.21889103017551,,0,0,0,0
METHOD,L,8,TANGENT_PROFILE_SAFE,,24,24,1,0.282483958859665,0.5456280780793,0.198039200111113,0.506931365951495,18.6555129086693,63.9342701928876,0.148106797749978,0.615562944886447,0.991666666666673,2.82184414487112,0.199097561785296,0.627866058681187,0.541666666666667,0.458333333333333,412.125,898.875,4.5320354,4.57595489,-22.0335221164953,-28.6723756284222,-15.4197195094785,-0.0299036247086757,6.21889103017551,,0,0,0,0
PAIRWISE,L,8,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,24,11,11,2
PAIRWISE,L,8,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,24,15,5,4
METHOD,SNR_X_PROFILE,-6|P1,CORE_LITE,,6,6,1,0.529435044992024,0.583190113879982,0.524209216036364,0.573396366871636,31.717474411461,45,0.1,0.147213595499957,0.333333333333334,0.490711984999857,0.20036897924864,0.212478672477061,0,0,149.666666666667,349,0.1456073,0.1802189,-28.0419108224549,-29.0947966576344,-27.4197201460617,-5.58950927201361,-4.51342950170388,,0,0,0,0
METHOD,SNR_X_PROFILE,-6|P1,CORE_PLUS,,6,6,1,0.570360939757524,0.643999600061344,0.56649314692749,0.626484326337883,15.7605478472146,38.6462081647275,0.175195883700647,0.29816201962788,0.583986279002157,0.993873398759603,0.19680696631495,0.298343485139706,0.833333333333333,0.166666666666667,1378,2807.33333333333,0.88710345,1.86809595,-28.0419108224549,-29.0947966576344,-27.4197201460617,-5.58950927201361,-4.51342950170388,,0,0,0,0
METHOD,SNR_X_PROFILE,-6|P1,TANGENT_PROFILE_SAFE,,6,6,1,0.509378677283008,0.583190113879982,0.504950975679639,0.573396366871636,18.434948822922,45,0.1,0.147213595499957,0.333333333333334,0.490711984999857,0.188259286020219,0.212478672477061,0.166666666666667,0.833333333333333,376.5,828.666666666667,4.47873245,4.54653175,-28.0419108224549,-29.0947966576344,-27.4197201460617,-5.58950927201361,-4.51342950170388,,0,0,0,0
PAIRWISE,SNR_X_PROFILE,-6|P1,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,6,1,5,0
