scenario,data_split,trial_id,method,score,rss,normalized_score_gap_to_local_full,success_flag,wrong_local_peak_flag,num_score_eval_total,statistical_calibration_status,domain_hash,phase_factor
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,6,LOCAL_FULL_DML_REFERENCE,19350.7337253046,18.5474300473834,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,6,CONVENTIONAL_DBF,19068.7542412824,300.526914069542,0.0145720306023032,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,7,MAIN_GROUPED_CONDITIONAL_JOINT,19350.3331696351,18.5524789965166,1.31604202503363e-15,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,7,GROUPED_CONDITIONAL_ONLY,19305.8243235442,63.0613250874376,0.00230015916009087,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,7,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.3331696351,18.5524789965166,1.31604202503363e-15,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,7,LOCAL_FULL_DML_REFERENCE,19350.3331696351,18.5524789964911,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,7,CONVENTIONAL_DBF,19068.4531776894,300.432470942207,0.0145671906253297,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,8,MAIN_GROUPED_CONDITIONAL_JOINT,19350.532913998,18.5920036105963,3.66139118972519e-06,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,8,GROUPED_CONDITIONAL_ONLY,19306.0771726261,63.0477449825121,0.00230104404207771,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,8,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.6037641282,18.5211534804257,-1.69203037088288e-15,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
