az_center_grid,el_center_grid,score_grid,score_grid_norm,truth_center_az,truth_center_el,fixed_est_center_az,fixed_est_center_el,c05_est_center_az,c05_est_center_el
-0.486,10.411,145298.407712596,0.60777651021931,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.471,145663.354666286,0.60978367437604,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.531,145506.179261452,0.608919228637523,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.591,144869.110547901,0.605415427676077,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.651,143808.334416422,0.599581287103327,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.711,142388.702328524,0.591773482122993,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.771,140678.56407592,0.582367928332282,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.831,138745.339387842,0.57173542609712,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.891,136652.163341074,0.560223210712591,0,10.31,0.02,10.36,-0.012,10.312
-0.486,10.951,134455.684395289,0.548142841863302,0,10.31,0.02,10.36,-0.012,10.312
-0.486,11.011,132204.909599201,0.535763852396722,0,10.31,0.02,10.36,-0.012,10.312
-0.486,11.071,129940.890518065,0.523312020962393,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.511,97388.979596716,0.344280443430618,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.571,102801.355186864,0.374047855317432,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.631,108052.2466863,0.402927124213921,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.691,113160.502091988,0.4310219118264,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.751,118137.631055488,0.458395519847981,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.811,122983.368585366,0.485046490857797,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.871,127682.643719856,0.510891936386827,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.931,132204.203640408,0.535759969708643,0,10.31,0.02,10.36,-0.012,10.312
-0.446,9.991,136501.116276943,0.559392470107586,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.051,140513.285519727,0.581458916240217,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.111,144171.924489526,0.601580988580762,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.171,147405.645728431,0.619366064734905,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.231,150147.496964461,0.634445915295137,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.291,152341.996682084,0.646515398628646,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.351,153951.116137259,0.655365361237387,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.411,154958.285848405,0.660904672974399,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.471,155369.865925106,0.663168313674029,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.531,155214.013993129,0.662311146876341,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.591,154537.365183833,0.65858966016989,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.651,153400.271936567,0.652335784680044,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.711,151871.468794469,0.643927552090361,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.771,150022.941269621,0.633760874020856,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.831,147925.558862267,0.622225524161268,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.891,145645.769202981,0.609686956452332,0,10.31,0.02,10.36,-0.012,10.312
-0.446,10.951,143243.415324799,0.596474300346224,0,10.31,0.02,10.36,-0.012,10.312
-0.446,11.011,140770.570772751,0.582873954049693,0,10.31,0.02,10.36,-0.012,10.312
-0.446,11.071,138271.195697137,0.569127693078662,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.511,100989.252393326,0.364081508869733,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.571,107061.406148483,0.397477620957525,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.631,112966.68251406,0.429955927562774,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.691,118715.274940563,0.461572491431814,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.751,124310.152599773,0.492343642650732,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.811,129742.477820267,0.522220775094372,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.871,134988.669762497,0.551074196993974,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.931,140009.38102853,0.578687502414396,0,10.31,0.02,10.36,-0.012,10.312
-0.406,9.991,144750.56025181,0.604763415369413,0,10.31,0.02,10.36,-0.012,10.312
-0.406,10.051,149146.622312576,0.628941225623571,0,10.31,0.02,10.36,-0.012,10.312
-0.406,10.111,153125.515510289,0.650824657528325,0,10.31,0.02,10.36,-0.012,10.312
-0.406,10.171,156615.181488671,0.670017398829388,0,10.31,0.02,10.36,-0.012,10.312
-0.406,10.231,159550.61503754,0.686161928723915,0,10.31,0.02,10.36,-0.012,10.312
-0.406,10.291,161880.541897048,0.69897624497709,0,10.31,0.02,10.36,-0.012,10.312
